Letter	Value
z	0.997183273
z	5
z	x
z	0.325656984
z	0.182396126
z	0.392308169
z	0.559823448
z	0.636472016
z	0.409142003
z	0.002289762
z	0.998172862
z	0.880087438
z	0.468434201
z	0.925696864
z	0.150145041
z	0.621351997
z	0.867987679
z	0.452114875
z	0.721737244
z	0.897326183
z	0.737030061
Z	0.98071352
Z	0.521937275
Z	0.542882506
Z	0.040731216
Z	0.136006267
Z	0.678256243
Z	0.442416636
Z	0.416595335
Z	0.245142798
Z	0.946427718
Z	0.817301536
Z	0.640687295
Z	0.350199701
Z	0.15685655
Z	0.252618466
Z	0.480937044
Z	0.728262412
Z	0.453087917
Z	0.680533294
Z	0.296263867
Z	0.725016781
Z	0.648258924
Z	0.024306048
Z	0.172660719
Z	0.202200885
Z	0.856969543
Z	0.034416337
Z	0.979870547
Z	0.741803627
Z	0.31682087
Z	0.074262237
z	0.938633068
z	0.514620361
z	0.698032523
z	0.791597543
z	0.510093265
z	0.613932697
z	0.679140729
z	0.92871576
z	0.793913147
z	0.927652472
z	0.444457271
z	0.850579508
z	0.59914383
z	0.924003285
z	0.377422086
z	0.228994111
z	0.887869669
z	0.029985099
z	0.689418945
z	0.641236624
z	0.969052488
Z	0.120066165
Z	0.466294219
Z	0.994136187
Z	0.196274665
Z	0.423244934
Z	0.302730379
Z	0.830985681
Z	0.286773069
Z	0.109792753
Z	0.786821274
Z	0.645931958
Z	0.813890381
Z	0.518397058
Z	0.970867315
Z	0.341778945
Z	0.096581354
Z	0.737847316
Z	0.393766467
Z	0.939080139
Z	0.097721514
Z	0.025108966
Z	0.268414855
Z	0.02642939
Z	0.213130567
Z	0.270449726
Z	0.242938202
Z	0.87674367
Z	0.127596748
Z	0.799980394
Z	0.652565133
Z	0.009365631
z	0.520319085
z	0.609657165
z	0.902750319
z	0.460942211
z	0.837521608
z	0.203382893
z	0.293735995
z	0.089357127
z	0.622196915
z	0.258244157
z	0.039374281
z	0.839455798
z	0.954353634
z	0.693135285
z	0.84846718
z	0.409909089
z	0.876597155
z	0.762355231
z	0.813399632
z	0.092678919
z	0.965368652
Z	0.217990821
Z	0.04473584
Z	0.386618306
Z	0.723339762
Z	0.762059981
Z	0.946600075
Z	0.633510341
Z	0.434295213
Z	0.106914344
Z	0.811551269
Z	0.640759097
Z	0.784328997
Z	0.637301298
Z	0.562479716
Z	0.177022153
Z	0.303765176
Z	0.099151236
Z	0.886893838
Z	0.580099891
Z	0.00796991
Z	0.128815599
Z	0.385402347
Z	0.676853757
Z	0.99379088
Z	0.175002312
Z	0.892318128
Z	0.580946025
Z	0.539774555
Z	0.324931638
Z	0.436024601
Z	0.694269202
z	0.62649264
z	0.616362601
z	0.335103335
z	0.586603464
z	0.219652527
z	0.288199296
z	0.084317233
z	0.762168
z	0.744872273
z	0.894115589
z	0.806567678
z	0.014598092
z	0.75804579
z	0.28182608
z	0.38880696
z	0.656861224
z	0.686125604
z	0.065870143
z	0.699098759
z	0.947667893
z	0.495430638
Z	0.277046887
Z	0.479630521
Z	0.428854148
Z	0.491983168
Z	0.679028787
Z	0.125234848
Z	0.006416594
Z	0.508202905
Z	0.513325122
Z	0.625985854
Z	0.117431606
Z	0.38304076
Z	0.219205583
Z	0.890441976
Z	0.868576188
Z	0.50353889
Z	0.886034281
Z	0.422327584
Z	0.821938521
Z	0.953319911
Z	0.376342001
Z	0.245490908
Z	0.018270766
Z	0.395078227
Z	0.155199951
Z	0.310240276
Z	0.483075392
Z	0.310338414
Z	0.851873598
Z	0.093754056
Z	0.196588663
z	0.002642961
z	0.074113113
z	0.796173402
z	0.74243628
z	0.249089426
z	0.847721723
z	0.411447781
z	0.257247494
z	0.63922047
z	0.48240052
z	0.826936372
z	0.168146134
z	0.706837108
z	0.978912635
z	0.982288485
z	0.26515597
z	0.03035163
z	0.428856494
z	0.048333977
z	0.730745194
z	0.651936311
Z	0.470560211
Z	0.689166577
Z	0.766125969
Z	0.325098012
Z	0.527013424
Z	0.50409601
Z	0.66798338
Z	0.55609134
Z	0.05064703
Z	0.419532652
Z	0.249767899
Z	0.716455758
Z	0.552702172
Z	0.453085904
Z	0.960835318
Z	0.950365852
Z	0.824426325
Z	0.798888786
Z	0.778065738
Z	0.774586061
Z	0.646104769
Z	0.138382181
Z	0.083869073
Z	0.04271552
Z	0.82836648
Z	0.116796811
Z	0.628561562
Z	0.679427525
Z	0.791364565
Z	0.244943987
Z	0.452875389
z	0.292464612
z	0.191825255
z	0.065683659
z	0.430279727
z	0.772694613
z	0.682516749
z	0.016970083
z	0.689013088
z	0.895051364
z	0.402002468
z	0.865766558
z	0.390048245
z	0.249184655
z	0.633147158
z	0.437627629
z	0.591670992
z	0.732286984
z	0.003385352
z	0.045026842
z	0.758690587
z	0.354726769
Z	0.912901827
Z	0.862452699
Z	0.621248326
Z	0.902874209
Z	0.218103136
Z	0.608231065
Z	0.992197409
Z	0.69637238
Z	0.222064979
Z	0.547847093
Z	0.105626469
Z	0.909023686
Z	0.713398537
Z	0.197265183
Z	0.906178106
Z	0.948698364
Z	0.829519998
Z	0.450720551
Z	0.985188154
Z	0.033562492
Z	0.876294299
Z	0.812245675
Z	0.136891011
Z	0.627587929
Z	0.691844452
Z	0.806291878
Z	0.761160303
Z	0.175537389
Z	0.853129342
Z	0.5841708
Z	0.585835263
y	0.06178307
X	0.400278347
d	0.705479788
